,damage taken,direction,encounter,month of departure
133,32%,southbound,merpeople,1/1396
134,16%,southbound,pirates,1/1396
135,86%,northbound,nessie,1/1396
136,100%+,northbound,unknown,1/1396
137,35%,southbound,merpeople,1/1396
138,78%,northbound,water elemental,1/1396
139,42%,southbound,pirates,1/1396
140,20%,northbound,pirates,1/1396
141,94%,southbound,nessie,1/1396
142,83%,northbound,water elemental,1/1396
143,42%,northbound,pirates,1/1396
144,42%,northbound,pirates,1/1396
145,82%,northbound,merpeople,1/1396
146,33%,southbound,pirates,1/1396
147,21%,northbound,pirates,1/1396
148,49%,northbound,pirates,1/1396
149,73%,southbound,merpeople,1/1396
150,57%,northbound,kraken,1/1396
151,13%,northbound,pirates,1/1396
152,35%,northbound,pirates,1/1396
153,18%,southbound,sharks,1/1396
154,76%,southbound,water elemental,1/1396
155,17%,southbound,pirates,1/1396
156,66%,southbound,merpeople,1/1396
157,10%,southbound,harpy,1/1396
158,100%+,southbound,unknown,1/1396
159,63%,northbound,crabmonsters,1/1396
160,76%,southbound,water elemental,1/1396
161,100%+,southbound,unknown,1/1396
162,9%,northbound,harpy,1/1396
163,37%,northbound,pirates,1/1396
164,44%,southbound,pirates,1/1396
165,65%,northbound,kraken,1/1396
166,43%,southbound,merpeople,1/1396
167,32%,northbound,sharks,1/1396
168,48%,southbound,pirates,1/1396
169,46%,northbound,pirates,1/1396
170,12%,northbound,sharks,1/1396
171,100%+,southbound,unknown,1/1396
172,51%,southbound,merpeople,1/1396
173,28%,southbound,sharks,1/1396
174,39%,southbound,pirates,1/1396
175,97%,southbound,demon whale,1/1396
176,42%,southbound,merpeople,1/1396
177,16%,northbound,sharks,1/1396
178,48%,northbound,merpeople,1/1396
179,20%,northbound,sharks,1/1396
180,100%+,southbound,unknown,1/1396
181,46%,southbound,pirates,1/1396
182,15%,northbound,harpy,1/1396
183,11%,northbound,pirates,1/1396
184,13%,southbound,pirates,1/1396
185,100%+,northbound,unknown,1/1396
186,100%+,northbound,unknown,1/1396
187,50%,southbound,pirates,2/1396
188,59%,northbound,merpeople,2/1396
189,85%,northbound,nessie,2/1396
190,19%,northbound,pirates,2/1396
191,17%,northbound,pirates,2/1396
192,100%+,northbound,unknown,2/1396
193,74%,northbound,water elemental,2/1396
194,47%,southbound,pirates,2/1396
195,54%,southbound,crabmonsters,2/1396
196,13%,northbound,sharks,2/1396
197,83%,northbound,crabmonsters,2/1396
198,100%+,northbound,unknown,2/1396
199,18%,northbound,sharks,2/1396
200,47%,southbound,kraken,2/1396
201,23%,southbound,sharks,2/1396
202,49%,northbound,pirates,2/1396
203,26%,southbound,sharks,2/1396
204,24%,southbound,sharks,2/1396
205,29%,northbound,sharks,2/1396
206,29%,northbound,pirates,2/1396
207,81%,northbound,water elemental,2/1396
208,87%,northbound,nessie,2/1396
209,18%,northbound,sharks,2/1396
210,62%,southbound,kraken,2/1396
211,77%,southbound,water elemental,2/1396
212,22%,northbound,crabmonsters,2/1396
213,26%,northbound,pirates,2/1396
214,30%,northbound,pirates,2/1396
215,39%,southbound,sharks,2/1396
216,30%,northbound,sharks,2/1396
217,42%,southbound,pirates,2/1396
218,57%,southbound,pirates,2/1396
219,97%,northbound,merpeople,2/1396
220,39%,northbound,kraken,2/1396
221,26%,northbound,pirates,2/1396
222,48%,northbound,kraken,2/1396
223,79%,northbound,water elemental,2/1396
224,38%,southbound,sharks,2/1396
225,74%,northbound,merpeople,2/1396
226,33%,northbound,sharks,2/1396
227,10%,northbound,harpy,2/1396
228,79%,southbound,water elemental,2/1396
229,23%,southbound,sharks,2/1396
230,26%,southbound,merpeople,2/1396
231,82%,northbound,water elemental,2/1396
232,41%,southbound,pirates,2/1396
233,34%,northbound,pirates,2/1396
234,23%,northbound,sharks,2/1396
235,61%,northbound,kraken,2/1396
236,100%+,northbound,unknown,2/1396
237,45%,southbound,pirates,2/1396
238,46%,southbound,pirates,2/1396
239,100%+,southbound,unknown,2/1396
240,18%,northbound,pirates,2/1396
241,17%,northbound,harpy,2/1396
242,97%,southbound,nessie,2/1396
243,81%,northbound,merpeople,2/1396
244,79%,southbound,nessie,2/1396
245,100%+,southbound,unknown,2/1396
246,18%,northbound,pirates,2/1396
247,49%,southbound,pirates,2/1396
248,17%,southbound,pirates,2/1396
249,31%,southbound,sharks,2/1396
250,17%,southbound,pirates,2/1396
251,78%,northbound,water elemental,2/1396
252,58%,northbound,merpeople,2/1396
253,100%+,northbound,unknown,2/1396
254,75%,southbound,crabmonsters,2/1396
255,84%,southbound,water elemental,2/1396
256,87%,southbound,nessie,2/1396
257,36%,southbound,pirates,2/1396
258,20%,southbound,pirates,2/1396
259,20%,northbound,harpy,2/1396
260,81%,southbound,water elemental,2/1396
261,32%,northbound,sharks,2/1396
262,34%,northbound,sharks,2/1396
263,21%,northbound,pirates,2/1396
264,64%,southbound,kraken,2/1396
265,100%+,southbound,unknown,2/1396
266,22%,southbound,pirates,2/1396
267,14%,southbound,harpy,2/1396
268,16%,southbound,pirates,2/1396
269,18%,northbound,sharks,2/1396
270,16%,southbound,pirates,2/1396
271,81%,southbound,water elemental,2/1396
272,36%,southbound,pirates,2/1396
273,100%+,northbound,unknown,2/1396
274,11%,southbound,pirates,2/1396
275,80%,northbound,water elemental,2/1396
276,7%,southbound,pirates,2/1396
277,18%,southbound,pirates,2/1396
278,78%,northbound,water elemental,2/1396
279,51%,southbound,pirates,2/1396
280,15%,southbound,pirates,2/1396
281,100%+,northbound,unknown,2/1396
282,100%+,southbound,unknown,2/1396
283,14%,southbound,pirates,2/1396
284,9%,northbound,pirates,2/1396
285,22%,southbound,pirates,2/1396
286,56%,northbound,merpeople,2/1396
287,83%,southbound,water elemental,2/1396
288,18%,northbound,pirates,2/1396
289,46%,southbound,merpeople,2/1396
290,67%,northbound,merpeople,2/1396
291,100%+,northbound,unknown,2/1396
292,85%,northbound,water elemental,2/1396
293,50%,northbound,pirates,2/1396
294,86%,southbound,nessie,2/1396
295,31%,northbound,sharks,2/1396
296,35%,southbound,sharks,2/1396
297,21%,southbound,pirates,2/1396
298,58%,northbound,pirates,2/1396
299,15%,northbound,pirates,2/1396
300,100%+,southbound,unknown,2/1396
301,24%,northbound,sharks,2/1396
302,83%,southbound,water elemental,2/1396
303,48%,southbound,crabmonsters,2/1396
304,100%+,northbound,unknown,2/1396
305,20%,northbound,sharks,2/1396
306,51%,northbound,kraken,2/1396
307,32%,southbound,sharks,2/1396
308,100%+,northbound,unknown,2/1396
309,100%+,northbound,unknown,2/1396
310,20%,southbound,pirates,2/1396
311,39%,southbound,kraken,2/1396
312,97%,northbound,demon whale,2/1396
313,24%,southbound,pirates,2/1396
314,53%,southbound,kraken,2/1396
315,12%,northbound,pirates,2/1396
316,33%,southbound,pirates,2/1396
317,40%,northbound,pirates,2/1396
318,75%,southbound,water elemental,2/1396
319,78%,southbound,crabmonsters,2/1396
320,55%,northbound,merpeople,2/1396
321,78%,southbound,water elemental,2/1396
322,26%,southbound,pirates,2/1396
323,30%,southbound,pirates,2/1396
324,34%,southbound,sharks,2/1396
325,64%,southbound,kraken,2/1396
326,40%,northbound,kraken,2/1396
327,8%,northbound,harpy,2/1396
328,20%,northbound,sharks,2/1396
329,11%,northbound,pirates,2/1396
330,22%,northbound,pirates,2/1396
331,79%,northbound,water elemental,2/1396
332,100%+,northbound,unknown,2/1396
333,83%,southbound,merpeople,2/1396
334,100%+,northbound,unknown,2/1396
335,11%,northbound,harpy,2/1396
336,45%,southbound,pirates,2/1396
337,11%,northbound,harpy,2/1396
338,15%,northbound,sharks,2/1396
339,100%+,northbound,unknown,2/1396
340,52%,northbound,merpeople,2/1396
341,64%,northbound,kraken,2/1396
342,18%,northbound,pirates,2/1396
343,51%,southbound,pirates,2/1396
344,14%,northbound,sharks,2/1396
345,14%,southbound,harpy,2/1396
346,15%,southbound,pirates,2/1396
347,18%,southbound,harpy,2/1396
348,44%,northbound,merpeople,2/1396
349,8%,southbound,pirates,2/1396
350,53%,northbound,crabmonsters,2/1396
351,100%+,northbound,unknown,2/1396
352,6%,southbound,harpy,2/1396
353,87%,northbound,crabmonsters,2/1396
354,14%,southbound,pirates,2/1396
355,30%,southbound,crabmonsters,2/1396
356,100%+,southbound,unknown,2/1396
357,34%,southbound,pirates,2/1396
358,21%,southbound,pirates,2/1396
359,31%,northbound,sharks,2/1396
360,35%,northbound,pirates,2/1396
361,19%,southbound,pirates,2/1396
362,55%,southbound,kraken,3/1396
363,66%,northbound,kraken,3/1396
364,17%,southbound,harpy,3/1396
365,50%,northbound,pirates,3/1396
366,100%+,northbound,unknown,3/1396
367,58%,northbound,kraken,3/1396
368,33%,southbound,sharks,3/1396
369,78%,southbound,nessie,3/1396
370,19%,northbound,pirates,3/1396
371,15%,northbound,harpy,3/1396
372,96%,northbound,nessie,3/1396
373,49%,southbound,kraken,3/1396
374,13%,northbound,pirates,3/1396
375,17%,northbound,pirates,3/1396
376,32%,southbound,sharks,3/1396
377,37%,northbound,pirates,3/1396
378,100%+,southbound,unknown,3/1396
379,60%,northbound,pirates,3/1396
380,77%,northbound,crabmonsters,3/1396
381,16%,northbound,harpy,3/1396
382,100%+,southbound,unknown,3/1396
383,66%,southbound,kraken,3/1396
384,40%,southbound,merpeople,3/1396
385,13%,southbound,harpy,3/1396
386,83%,northbound,water elemental,3/1396
387,19%,southbound,pirates,3/1396
388,46%,northbound,kraken,3/1396
389,82%,southbound,nessie,3/1396
390,21%,southbound,sharks,3/1396
391,25%,southbound,sharks,3/1396
392,12%,southbound,pirates,3/1396
393,79%,northbound,nessie,3/1396
394,14%,northbound,sharks,3/1396
395,82%,southbound,demon whale,3/1396
396,33%,southbound,pirates,3/1396
397,38%,northbound,pirates,3/1396
398,21%,northbound,pirates,3/1396
399,60%,southbound,kraken,3/1396
400,55%,southbound,pirates,3/1396
401,21%,northbound,pirates,3/1396
402,76%,southbound,water elemental,3/1396
403,68%,northbound,kraken,3/1396
404,92%,southbound,nessie,3/1396
405,21%,northbound,sharks,3/1396
406,39%,southbound,sharks,3/1396
407,33%,northbound,pirates,3/1396
408,23%,southbound,merpeople,3/1396
409,16%,northbound,sharks,3/1396
410,40%,southbound,sharks,3/1396
411,76%,southbound,nessie,3/1396
412,18%,southbound,harpy,3/1396
413,82%,southbound,nessie,3/1396
414,13%,southbound,merpeople,3/1396
415,87%,northbound,merpeople,3/1396
416,9%,southbound,pirates,3/1396
417,100%+,southbound,unknown,3/1396
418,16%,northbound,pirates,3/1396
419,17%,southbound,harpy,3/1396
420,22%,northbound,sharks,3/1396
421,79%,northbound,water elemental,3/1396
422,37%,northbound,pirates,3/1396
423,59%,northbound,merpeople,3/1396
424,49%,northbound,kraken,3/1396
425,5%,northbound,crabmonsters,3/1396
426,100%+,southbound,unknown,3/1396
427,13%,southbound,pirates,3/1396
428,14%,northbound,pirates,3/1396
429,24%,northbound,pirates,3/1396
430,100%+,northbound,unknown,3/1396
431,30%,northbound,sharks,3/1396
432,87%,northbound,nessie,3/1396
433,13%,southbound,sharks,3/1396
434,89%,southbound,nessie,3/1396
435,22%,southbound,crabmonsters,3/1396
436,12%,northbound,crabmonsters,3/1396
437,28%,northbound,sharks,3/1396
438,41%,southbound,pirates,3/1396
439,100%+,southbound,unknown,3/1396
440,22%,southbound,pirates,3/1396
441,100%+,northbound,unknown,3/1396
442,42%,northbound,pirates,3/1396
443,19%,southbound,pirates,3/1396
444,13%,northbound,pirates,3/1396
445,49%,northbound,kraken,3/1396
446,77%,southbound,water elemental,3/1396
447,48%,northbound,pirates,3/1396
448,37%,southbound,merpeople,3/1396
449,15%,southbound,crabmonsters,3/1396
450,100%+,southbound,unknown,3/1396
451,99%,northbound,demon whale,3/1396
452,100%+,southbound,unknown,3/1396
453,100%+,northbound,unknown,3/1396
454,27%,southbound,pirates,3/1396
455,47%,northbound,pirates,3/1396
456,65%,southbound,kraken,3/1396
457,36%,northbound,pirates,3/1396
458,13%,northbound,sharks,3/1396
459,59%,northbound,pirates,3/1396
460,84%,northbound,nessie,3/1396
461,27%,northbound,crabmonsters,3/1396
462,36%,southbound,pirates,3/1396
463,100%+,southbound,unknown,3/1396
464,59%,southbound,crabmonsters,3/1396
465,31%,southbound,merpeople,3/1396
466,42%,northbound,sharks,3/1396
467,20%,southbound,sharks,3/1396
468,7%,southbound,crabmonsters,3/1396
469,27%,southbound,crabmonsters,3/1396
470,18%,southbound,pirates,3/1396
471,83%,southbound,water elemental,3/1396
472,16%,southbound,pirates,3/1396
473,44%,northbound,kraken,3/1396
474,43%,northbound,pirates,3/1396
475,60%,southbound,kraken,3/1396
476,16%,southbound,harpy,3/1396
477,82%,northbound,water elemental,3/1396
478,30%,southbound,sharks,3/1396
479,51%,southbound,merpeople,3/1396
480,29%,southbound,crabmonsters,3/1396
481,37%,northbound,merpeople,3/1396
482,84%,southbound,water elemental,3/1396
483,3%,northbound,crabmonsters,3/1396
484,26%,northbound,pirates,3/1396
485,100%+,northbound,unknown,3/1396
486,7%,southbound,sharks,3/1396
487,100%+,northbound,unknown,3/1396
488,29%,northbound,sharks,3/1396
489,52%,southbound,pirates,3/1396
490,31%,northbound,sharks,3/1396
491,100%+,southbound,unknown,3/1396
492,100%+,southbound,unknown,3/1396
493,29%,northbound,sharks,3/1396
494,85%,southbound,water elemental,3/1396
495,100%+,southbound,unknown,3/1396
496,28%,southbound,pirates,3/1396
497,13%,southbound,harpy,3/1396
498,49%,northbound,pirates,3/1396
499,36%,northbound,pirates,3/1396
500,100%+,northbound,unknown,3/1396
501,100%+,northbound,unknown,3/1396
502,27%,northbound,pirates,3/1396
503,28%,southbound,sharks,3/1396
504,16%,northbound,pirates,3/1396
505,29%,southbound,pirates,3/1396
506,50%,southbound,pirates,3/1396
507,100%+,southbound,unknown,3/1396
508,82%,northbound,nessie,3/1396
509,12%,northbound,harpy,3/1396
510,16%,southbound,pirates,3/1396
511,100%+,northbound,unknown,3/1396
512,53%,northbound,kraken,3/1396
513,20%,southbound,sharks,3/1396
514,88%,southbound,nessie,3/1396
515,9%,southbound,pirates,3/1396
516,31%,southbound,merpeople,3/1396
517,100%+,southbound,unknown,3/1396
518,37%,northbound,sharks,3/1396
519,23%,northbound,pirates,3/1396
520,51%,southbound,kraken,3/1396
521,14%,northbound,sharks,3/1396
522,57%,southbound,merpeople,3/1396
523,18%,northbound,harpy,3/1396
524,20%,northbound,pirates,3/1396
525,20%,northbound,pirates,3/1396
526,81%,southbound,merpeople,3/1396
527,19%,southbound,pirates,3/1396
528,100%+,northbound,unknown,3/1396
529,19%,northbound,sharks,3/1396
530,28%,northbound,sharks,3/1396
531,100%+,southbound,unknown,3/1396
532,22%,northbound,sharks,3/1396
533,100%+,southbound,unknown,3/1396
534,49%,northbound,kraken,3/1396
535,27%,northbound,pirates,3/1396
536,19%,southbound,sharks,4/1396
537,18%,southbound,pirates,4/1396
538,34%,southbound,pirates,4/1396
539,66%,northbound,merpeople,4/1396
540,100%+,northbound,unknown,4/1396
541,16%,northbound,pirates,4/1396
542,57%,northbound,kraken,4/1396
543,79%,southbound,water elemental,4/1396
544,51%,northbound,kraken,4/1396
545,69%,southbound,merpeople,4/1396
546,40%,southbound,merpeople,4/1396
547,49%,northbound,kraken,4/1396
548,39%,northbound,kraken,4/1396
549,14%,northbound,sharks,4/1396
550,46%,southbound,sharks,4/1396
551,21%,southbound,sharks,4/1396
552,32%,southbound,pirates,4/1396
553,42%,southbound,sharks,4/1396
554,84%,southbound,nessie,4/1396
555,74%,southbound,water elemental,4/1396
556,79%,northbound,water elemental,4/1396
557,33%,northbound,sharks,4/1396
558,100%+,southbound,unknown,4/1396
559,32%,southbound,merpeople,4/1396
560,22%,southbound,pirates,4/1396
561,100%+,southbound,unknown,4/1396
562,8%,southbound,harpy,4/1396
563,100%+,northbound,unknown,4/1396
564,17%,southbound,pirates,4/1396
565,100%+,northbound,unknown,4/1396
566,13%,southbound,pirates,4/1396
567,21%,southbound,pirates,4/1396
568,44%,northbound,kraken,4/1396
569,32%,northbound,sharks,4/1396
570,76%,northbound,water elemental,4/1396
571,55%,northbound,kraken,4/1396
572,83%,northbound,water elemental,4/1396
573,100%+,northbound,unknown,4/1396
574,17%,northbound,harpy,4/1396
575,67%,northbound,kraken,4/1396
576,52%,northbound,merpeople,4/1396
577,21%,southbound,harpy,4/1396
578,98%,northbound,nessie,4/1396
579,37%,southbound,crabmonsters,4/1396
580,100%+,northbound,unknown,4/1396
581,32%,southbound,crabmonsters,4/1396
582,23%,southbound,sharks,4/1396
583,12%,southbound,harpy,4/1396
584,21%,northbound,harpy,4/1396
585,38%,northbound,pirates,4/1396
586,23%,northbound,sharks,4/1396
587,84%,northbound,water elemental,4/1396
588,100%+,northbound,unknown,4/1396
589,38%,southbound,pirates,4/1396
590,44%,southbound,pirates,4/1396
591,18%,southbound,pirates,4/1396
592,36%,southbound,merpeople,4/1396
593,35%,northbound,pirates,4/1396
594,43%,northbound,pirates,4/1396
595,14%,southbound,sharks,4/1396
596,78%,southbound,merpeople,4/1396
597,33%,northbound,pirates,4/1396
598,25%,northbound,sharks,4/1396
599,100%+,northbound,unknown,4/1396
600,66%,southbound,merpeople,4/1396
601,10%,southbound,sharks,4/1396
602,54%,northbound,kraken,4/1396
603,28%,northbound,sharks,4/1396
604,100%+,northbound,unknown,4/1396
605,77%,northbound,water elemental,4/1396
606,100%+,northbound,unknown,4/1396
607,32%,southbound,pirates,4/1396
608,84%,southbound,water elemental,4/1396
609,18%,southbound,pirates,4/1396
610,28%,southbound,pirates,4/1396
611,20%,northbound,sharks,4/1396
612,14%,northbound,sharks,4/1396
613,54%,southbound,pirates,4/1396
614,7%,southbound,harpy,4/1396
615,45%,southbound,kraken,4/1396
616,66%,southbound,kraken,4/1396
617,46%,northbound,pirates,4/1396
618,9%,northbound,crabmonsters,4/1396
619,36%,northbound,pirates,4/1396
620,15%,southbound,pirates,4/1396
621,41%,northbound,merpeople,4/1396
622,28%,southbound,pirates,4/1396
623,43%,northbound,kraken,4/1396
624,67%,northbound,merpeople,4/1396
625,77%,southbound,water elemental,4/1396
626,17%,southbound,pirates,4/1396
627,17%,southbound,sharks,4/1396
628,100%+,northbound,unknown,4/1396
629,74%,northbound,water elemental,4/1396
630,46%,southbound,kraken,4/1396
631,33%,northbound,sharks,4/1396
632,28%,southbound,pirates,4/1396
633,50%,southbound,pirates,4/1396
634,42%,southbound,merpeople,4/1396
635,18%,southbound,pirates,4/1396
636,36%,southbound,pirates,4/1396
637,81%,northbound,water elemental,4/1396
638,67%,southbound,merpeople,4/1396
639,15%,southbound,harpy,4/1396
640,82%,southbound,water elemental,4/1396
641,75%,northbound,water elemental,4/1396
642,87%,northbound,nessie,4/1396
643,32%,southbound,sharks,4/1396
644,19%,southbound,harpy,4/1396
645,27%,southbound,merpeople,4/1396
646,36%,northbound,merpeople,4/1396
647,11%,southbound,pirates,4/1396
648,45%,southbound,merpeople,4/1396
649,100%+,southbound,unknown,4/1396
650,85%,southbound,water elemental,4/1396
651,55%,northbound,pirates,4/1396
652,49%,northbound,kraken,4/1396
653,17%,northbound,harpy,4/1396
654,14%,northbound,harpy,4/1396
655,100%+,northbound,unknown,4/1396
656,50%,southbound,pirates,4/1396
657,30%,northbound,pirates,4/1396
658,43%,northbound,merpeople,4/1396
659,21%,southbound,sharks,4/1396
660,23%,northbound,pirates,4/1396
661,34%,northbound,pirates,4/1396
662,21%,southbound,pirates,4/1396
663,43%,southbound,merpeople,4/1396
664,27%,northbound,pirates,4/1396
665,86%,northbound,crabmonsters,4/1396
666,22%,southbound,sharks,4/1396
667,8%,northbound,sharks,4/1396
668,100%+,southbound,unknown,4/1396
669,56%,southbound,kraken,4/1396
670,93%,northbound,demon whale,4/1396
671,75%,northbound,water elemental,4/1396
672,32%,southbound,pirates,4/1396
673,75%,northbound,crabmonsters,4/1396
674,25%,northbound,sharks,4/1396
675,93%,northbound,nessie,4/1396
676,100%+,southbound,unknown,4/1396
677,12%,southbound,pirates,4/1396
678,36%,southbound,merpeople,4/1396
679,22%,southbound,pirates,4/1396
680,82%,southbound,water elemental,4/1396
681,56%,southbound,merpeople,4/1396
682,43%,southbound,pirates,4/1396
683,40%,southbound,sharks,4/1396
684,85%,northbound,nessie,4/1396
685,50%,southbound,kraken,4/1396
686,12%,northbound,pirates,4/1396
687,15%,southbound,pirates,4/1396
688,83%,southbound,water elemental,4/1396
689,100%+,southbound,unknown,4/1396
690,15%,northbound,sharks,4/1396
691,91%,southbound,demon whale,4/1396
692,15%,northbound,merpeople,4/1396
693,17%,northbound,pirates,4/1396
694,29%,northbound,pirates,4/1396
695,44%,southbound,kraken,4/1396
696,37%,northbound,sharks,4/1396
697,18%,northbound,sharks,4/1396
698,100%+,southbound,unknown,4/1396
699,65%,southbound,merpeople,4/1396
700,25%,northbound,pirates,4/1396
701,100%+,northbound,unknown,4/1396
702,36%,southbound,pirates,4/1396
703,12%,northbound,pirates,4/1396
704,28%,northbound,pirates,4/1396
705,23%,southbound,sharks,4/1396
706,28%,southbound,sharks,4/1396
707,80%,northbound,nessie,4/1396
708,31%,northbound,sharks,4/1396
709,85%,northbound,nessie,4/1396
710,19%,northbound,harpy,4/1396
711,54%,southbound,crabmonsters,4/1396
712,32%,northbound,sharks,4/1396
713,12%,southbound,harpy,4/1396
714,94%,northbound,demon whale,5/1396
715,13%,northbound,pirates,5/1396
716,27%,southbound,merpeople,5/1396
717,91%,southbound,nessie,5/1396
718,100%+,southbound,unknown,5/1396
719,13%,northbound,pirates,5/1396
720,18%,northbound,crabmonsters,5/1396
721,86%,southbound,nessie,5/1396
722,21%,northbound,harpy,5/1396
723,29%,northbound,pirates,5/1396
724,16%,northbound,pirates,5/1396
725,9%,northbound,harpy,5/1396
726,29%,northbound,pirates,5/1396
727,45%,northbound,merpeople,5/1396
728,18%,southbound,sharks,5/1396
729,27%,northbound,sharks,5/1396
730,97%,northbound,nessie,5/1396
731,15%,northbound,merpeople,5/1396
732,38%,northbound,merpeople,5/1396
733,100%+,northbound,unknown,5/1396
734,78%,southbound,water elemental,5/1396
735,81%,northbound,water elemental,5/1396
736,14%,northbound,sharks,5/1396
737,45%,northbound,kraken,5/1396
738,100%+,southbound,unknown,5/1396
739,16%,southbound,pirates,5/1396
740,27%,southbound,crabmonsters,5/1396
741,100%+,southbound,unknown,5/1396
742,86%,southbound,nessie,5/1396
743,48%,northbound,kraken,5/1396
744,100%+,northbound,unknown,5/1396
745,38%,southbound,pirates,5/1396
746,21%,northbound,merpeople,5/1396
747,100%+,northbound,unknown,5/1396
748,82%,southbound,water elemental,5/1396
749,29%,southbound,pirates,5/1396
750,21%,southbound,harpy,5/1396
751,76%,northbound,water elemental,5/1396
752,95%,southbound,demon whale,5/1396
753,38%,northbound,sharks,5/1396
754,53%,southbound,kraken,5/1396
755,55%,southbound,pirates,5/1396
